jenis_makam,lokasi,zona,no_lot,ukuran
kotak_abu,KARAWANG,LCB-B-B1,SL-01-08,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-108,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-118,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-128,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-18,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-28,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-38,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-68,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-88,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-01-98,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-08,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-108,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-118,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-128,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-18,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-28,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-38,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-68,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-88,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-02-98,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-08,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-108,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-118,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-128,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-18,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-28,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-38,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-68,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-88,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-03-98,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-08,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-108,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-118,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-128,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-18,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-28,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-38,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-68,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-88,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-05-98,Single
kotak_abu,KARAWANG,LCB-B-B1,SL-06-08,Single
